Title,Number of review,Catagory,Reveiw Comment,Popular food,Online Order
Smorgas Chef at Scandinavia House,126,"Chinese, Asian",“For something a bit different”,No,No
Tangy Noodle,3,Pub,“Great quality for the price!”,No,No
Copper Johns Pub & Kitchen,23,"American, Bar",“Great little Bar”,No,No
The Regency Bar & Grill,165,"Japanese, Sushi","“Good Food, Neighborly Feel”",No,No
Tsushima,112,"American, Bar",“Japanese lunch”,No,No
The Beekman Pub,128,"Bar, American",“The Beekman Pub now closed.”,No,No
Punch,89,"American, Pizza",“Nice lunch spot”,No,No
The Marshal,323,"Japanese, Sushi",“Quite possibly the best Pizza I ever ate!”,No,No
Tanoshi Sushi Sake Bar,73,Fast Food,“High quality take out sushi and classic...”,No,No
sweetgreen,40,Italian,“Excellent salads but so crowded”,No,No
Valbella Midtown,72,"American, Bar",“Food was amazing!”,No,No
The Empire Rooftop,380,"American, Seafood",“Dinner with an exceptional view”,No,No
The Shadmoor,62,Italian,"“Not great service, but good food and...”",No,No
Katherine,111,Italian,“Best cocktails”,No,No
Socarrat Paella Bar - Midtown East,191,"Mediterranean, European",“Best paella outside of Spain!”,paella,Yes
Wok Wok Southeast Asian Kitchen,56,"Thai, Singaporean",“It's not easy to find Asian food so well prepared.”,Asian food,Yes
noodle village,115,"Chinese, Asian","“Wonderful dishes, superb noodles”",noodles,Yes
Hao Noodle,72,"Chinese, Asian","“Excellent food, service a little...”",sushi,Yes
Sushi Seki,42,"Japanese, Sushi",“Good sushi”,pasta,Yes
Trattoria Casa di Isacco,332,Italian,“The pasta is all home made and they’ve been their for 30 years no wonder in w...”,ribeye,Yes
Benjamin Steakhouse,"2,490","Seafood, Soups","“I had a ribeye steak which was excellent quality meat, beautifully cooked and...”",Great Indian Food,Yes
Maggie's Place,165,"Irish, Bar",“Magical”,Burger,Yes
Kurant,48,"American, Bar","“Wonderful staff, cute spot”",hummus,Yes
Darbar Grill,149,"Grill, Indian",“Great Indian Food”,Steak,Yes
Five Guys,75,"American, Fast Food",“Best Burger Chain”,Escargot,Yes
Agora Turkish Restaurant,68,"Mediterranean, Turkish",“App sampler (babaganoush/hummus/eggplant/spinach) was really good.”,carbonara,Yes
Tangy Noodle,3,"Chinese, Asian",“Great quality for the price!”,Crab Cakes,Yes
Pho Bang Restaurant,84,"Asian, Vietnamese",“Very good experience”,No,Yes
Takahachi Tribeca Restaurant,60,"Japanese, Sushi",“Excellent Japanese small restaurant.”,No,Yes
5 Napkin Burger,127,"American, Bar",“Great service and excellent”,No,Yes
Georgio's Pizzeria,55,"Pizza, Italian",“After Statue of Liberty or Wall St...”,No,Yes
Momoya,103,"Japanese, Sushi",“Good for both dining in and”,No,Yes
Royal 35 Steakhouse,591,"American, Steakhouse","“Superb Steak, really delicious”",No,Yes
Sel et Poivre,144,"French, European",“We started with French Onion Soup and Escargot- both delicious!!! My husband...”,No,No
Lenox Saphire,98,American,“Pleasant Surprise!”,No,No
The Writing Room,142,"Bar, British",“Great boozy brunch! You can”,No,No
Jones Wood Foundry,123,"American, Irish",“Cute neighborhood spot”,No,No
Niall's on 52nd,99,"Italian, Romana",“Great spot for a drink and late night food”,No,No
Lupa Osteria Romana,983,"Italian, Pizza","“We had a wonderful dinner at Lupa, spaghetti carbonara and the garganelli bol...”",No,No
Mani in Pasta,29,American,“Delicious”,No,No
The Brindle Room,170,"American, Fast Food",“Nice wine”,No,No
Subway,213,"Italian, Pizza",“simple but fast”,No,No
Empire Pizza,126,"Italian, Pizza",“Delicious slices”,No,No
Prova Pizzabar,78,"Seafood, Soups",“Little Gem”,No,No
Benjamin Steakhouse Prime,309,"Italian, European","“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”",No,No
Barbaresco,158,"Latin, Spanish",“Favorite Upper East Side Italian!”,No,No
Oficina Latina,111,American,“Happy Hour”,No,No
ESSEN Fast Slow Food,75,"American, Cafe",“Vast selection of options”,No,No
Indie Food & Wine,76,"American, Bar",“Great quick bite”,No,No
Bin 71,43,"Chinese, Steakhouse",“Great place”,No,No
Brooklyn Chop House - Times Square,3,"Chinese, Steakhouse",“Worth the price”,No,No
Miss Mamie's Spoonbread Too,102,"American, Caribbean",“Southern classics”,pasta,Yes
Serafina,78,"Italian, Pizza",“I’m giving this pasta all the credit for PR-ing the marathon by over 10 min.”,ribs,Yes
Pil Pil,64,"Spanish, Wine Bar",“Go for a taste of Spain!”,Lobster,Yes
ROSSOPOMODORO West Village,99,"Italian, Pizza",“Casual. Friendly. Good food. A bit pricy...”,chili,Yes
Manero's of Mulberry,22,"Italian, Pizza",“Best in slice in the city”,fries,Yes
Land of Plenty,105,"Chinese, Asian","“... as well as two kinds of ribs (one incredibly spicy and delicious), chicke...”",noodle soup,Yes
Perfect Picnic,49,"Italian, American",“Perfect Picnic did a wonderful job...”,steak & frites,Yes
Le Pain Quotidien,106,"European, Cafe",“Healthy options”,tuna,Yes
Gari of Columbus,113,"Japanese, Sushi","“Packed with American customers, but food...”",Tasty Pizza,Yes
Max Soha,87,Italian,“An oasis of hospitality and good food and...”,An Italian restaurant,Yes
Shabu-Tatsu,74,"Japanese, Asian",“NYC’s best sukiyaki”,No,Yes
Island,146,"Contemporary, American","“Lobster roll was excellent, as were the...”",No,Yes
Little Alley,44,"Asian, Chinese",“For a main course the sautéed green beans with pork and dried red chili was b...”,No,Yes
The Pool,70,"American, Seafood",“Cant wait to go back!”,No,Yes
Red Lion,153,"American, Bar",“Good live music”,No,Yes
The Vine NYC,124,"American, Bar",“Food could take time to get to you”,No,Yes
Hector's Cafe & Diner,41,"Diner, American",“... eggs and home fries being sizzled o...”,No,Yes
The Parlour - Intercontinental New York,90,Bar,“Service can be hit or miss”,No,Yes
Ledo Pizza,13,"Italian, Pizza",“Maryland’s Best in NYC”,No,Yes
Lan Zhou Handmade Noodle,83,"Asian, Chinese",“Wonderful noodle soup on a cool night but the waiter did not listen to the order”,No,Yes
David's Cafe,63,"French, American",“GREAT PLACE FOR WEEKEND BRUNCH”,No,No
Lucien Restaurant,192,"French, European","“The entrees included steak & frites, squab, and the short ribs.”",No,No
Oak Tuscan Truffle Lounge,20,Italian,“The only truffle place in the east cost i...”,No,No
Pondicheri,88,Indian,“Tasty food”,No,No
Allora Fifth Ave,9,"Italian, Mediterranean",“Good experience for dinner”,No,No
Riko Peruvian Cuisine,92,"Seafood, Peruvian",“Muy Bien”,No,No
El Mitote,101,"Mexican, Latin",“Quick and kind service”,No,No
Bouley at Home,95,"French, International",“Wonderful lunch”,No,No
Bar Masa,99,"Japanese, Sushi",“... excellent tuna that we had to order...”,No,No
Savann Restaurant,55,"Mediterranean, Turkish",“An unexpected find.”,No,No
Em Vietnamese Bistro,5,"Asian, Vietnamese",““Best Kept Secret in Dumbo””,No,No
Pizza by Cer te,48,"Pizza, Italian",“Great Pizza - No Mistake”,No,No
Yakitori Taisho,164,"Japanese, Asian",“Authenticity!”,No,No
Upside Pizza,47,"Pizza, Italian","“Friendly Staff, and Tasty Pizza”",No,No
Peter McManus Cafe,51,"Bar, Pub",“Very good”,No,No
Estancia 460,56,"Argentinean, South American",“Good Food and Service with a Varied Menu”,No,No
Don Giovanni Ristorante,263,"Italian, Pizza",“An Italian restaurant well worth a visit”,No,No
Rico Bagel,3,"American, Cafe",“One of the best bagels in the city!”,bagels,Yes
Wei West,76,"Chinese, Sushi",“Nice food and and simple environment.”,tuna,Yes
Modern Bread And Bagel,52,"Healthy, Cafe",“Great Place! Would Recommend. If you're...”,fries,Yes
Cafetal Social Club,54,"Italian, Pizza",“Classic Little Italy Cafe”,tuna,Yes
Porto-bello Restaurant,90,Italian,“Charming Italian spot in Greenwich Village”,naan,Yes
Vanguard Wine Bar,42,Wine Bar,“Nice wine Bar - they seem to have a few !”,breakfast and Lunch,Yes
Vestry,24,"American, Bar",“The tuna toast !”,Dumplings,Yes
Stitch Bar & Blues,66,"Italian, Pizza","“... had the chicken wrap, also delicious with a generous amount of crisp fries.”",vegetarian,Yes
Angelo's on 55th Street,104,"Cafe, Fast Food",“Delicious!”,sushi,Yes
Pret A Manger,75,Seafood,"“It's a Pret, so you get the usual quick...”",sashimi,Yes
Queensyard,118,"American, Steakhouse","“Great brunch, atmosphere, view and service”",seafood paella,Yes
The Chef's Table at Brooklyn Fare,89,"Indian, Asian",“The only true three Michelin star...”,Pizza,Yes
David Burke Tavern,114,American,“Highlights were the tuna tartare appetizer and the salmon entree.”,panzerotti,Yes
Chote Nawab,123,American,"“We ordered paneer malai marke, fried rice, hakka noodle's, onion chili naan (...”",great bar,Yes
The Terrace,123,"American, Cafe",“Nice area for al fresco drinks”,Sushi,Yes
Atrio Wine Bar & Restaurant,169,"Japanese, Sushi",“Great breakfast and Lunch Venue”,No,Yes
Good Thanks Cafe,26,"Asian, Chinese",“Good stay”,No,Yes
Marumi,76,Italian,“Marumi for Great Japanese Food”,No,Yes
Little Alley,44,"Cafe, Fast Food",“I savored Crystal Shrimp Dumplings with delicate translucent skin that melted...”,No,Yes
Amata,56,"Japanese, Asian",“Wonderful and Cozy Midtown-East Italian...”,No,Yes
Cafe Olympia,123,"Japanese, Sushi",“Came across quite by chance with hunger...”,No,Yes
Ivan Ramen Slurp Shop,173,"American, Bar",“Good Ramen”,No,No
Tenzan,85,Indian,“Asian Food in remodeled venue”,No,No
FOUR @ YOTEL New York,99,"Italian, Pizza","“Very comfy bed, great staff”",No,No
Saar Indian Bistro,98,"Japanese, Sushi",“We had a party of four and ordered three entrees to share and one vegetarian...”,No,No
Rao's Restaurant,89,"Japanese, Sushi",“Blown Away”,No,No
Hasaki,85,"Japanese, Sushi","“We enjoyed very much the large sushi Omakase, the tuna special (5 different t...”",No,No
Tenzan,139,"Barbecue, Asian","“We had goyza with a delicious dipping sauce, then a mixed plate of sashimi an...”",No,No
Ageha Sushi,92,"Seafood, Mediterranean","“Good rolls, reasonably priced”",No,No
Gunbae Tribeca,45,"Pizza, Italian",“What a party. Best Korean BBQ”,No,No
Socarrat Paella Bar - Chelsea,225,Italian,“We took the combined poultry and seafood paella and started with some appetiz...”,No,No
Vito's Slices & Ices,28,"American, Fast Food",“Best Gluten Free Pizza!”,No,No
I Love Panzerotti,25,"American, Bar","“I am now addicted to the panzerotti, I am going every weekend and I am bringi...”",No,No
Gray's Papaya,91,"Bar, International",“This Place Changed My Outlook Towards...”,No,No
The Press Box,99,"Japanese, Seafood",“Nice bar restaurant”,No,No
Roof at Park South,83,"Japanese, Seafood","“It look like a highline extension with a lot of flowers, a great bar and fire...”",No,No
Momoya Soho,9,"Japanese, Seafood",“Leave it to Sushi Chef!”,No,No
Vestry,24,Pub,“The tuna toast !”,tuna,Yes
Peter Dillon's,44,American,“Cracking Bar”,bar,Yes
Levain Bakery - NoHo,23,"Bar, Pub",“Best cookie ever”,rice,Yes
Stags Head,66,"French, European",“SUPER FRIENDLY AND AWESOME BAR”,salad,Yes
La Mercerie,97,"Chinese, Asian",“Nice dining experience”,Pizza,Yes
Wok 88,66,"Chinese, Seafood",“Good Food just down the street from our...”,noodles,Yes
Sichuan Hot Pot Cuisine,87,"Bar, Pub",“Great spot in Chinatown!”,fish and chips,Yes
Cornerstone Tavern,69,"Asian, Malaysian",“... a 6'5' guy in drag wandering up to the bar and nobody seemed to bat an eye!”,sandwiches,Yes
New Malaysia,90,"Bar, Pub",“Delicious Hoinan chicken rice and curry beef.”,pizza,Yes
The dead poet,58,Cafe,“Great Cocktails!”,dumplings,Yes
Forty Carrots,89,"Wine Bar, Bar",“Excellent egg salad sandwich.”,dim sum,Yes
The Ten Bells,70,"American, Pizza",“Wine and Tapas and more wine!”,Sushi,Yes
The Marshal,323,"Chinese, Asian",“Quite possibly the best Pizza I ever ate!”,No,Yes
Big Wong King,266,Italian,“... the noodles perfectly cooked.”,No,Yes
Tarallucci E Vino Upper West Side,88,Italian,“Amazing”,No,Yes
Pastai,75,"Bar, American","“Nice, italian, authentic experience......”",No,Yes
The Milton,71,"Irish, Bar","“casyal, reasonable, rustic with good menu”",No,Yes
Cassidy's Pub & Restaurant,161,"Chinese, Asian",“We had bangers and mash and fish and chips.”,No,Yes
Tim Ho Wan,35,"American, Diner",“LOVE THIS PLACE”,No,No
Hector's Restaurant,84,Cafe,“Ooh! Unpretentious real diner in NYC...”,No,No
Toast Cafe Brasserie,55,"American, Bar","“... needs, from sandwiches, hot cooked ...”",No,No
Rowland's Bar & Grill,141,"American, Bar",“Typical American bar&grill”,No,No
Fresh Salt,91,"Japanese, Asian",“Quick bite to eat”,No,No
Lucky Cat,44,"Indian, Chinese",“A humbling experience!!”,No,No
Utsav Restaurant,627,"Barbecue, Asian",“Great food but very chaotic atmosphere”,No,No
Gogi 37,48,Cafe,“best first experience ever”,No,No
Jake's at the Knick,84,"American, Bar",“Perfect coffee great service”,No,No
Clinton Hall FIDI,148,"Japanese, Sushi",“Fun place and a great burger”,No,No
Kura,37,"Italian, Pizza",“An extraordinary little gem on the lower...”,No,No
Harry's Italian,140,"Chinese, Asian",“Can’t go wrong with pizza but the pasta...”,No,No
Tim Ho Wan East Village,207,"American, Bar",“Super dumplings!”,No,No
Blackbarn,39,"Turkish, Middle Eastern",“Lovely Dinner”,No,No
Uskudar,85,"Japanese, Sushi",“A small but long lived Turkish place on...”,No,No
Sachi Asian Bistro,67,Fast Food,“I came here to take some dim sum out for the kids.”,No,No
Num Pang Sandwich Shop,72,"Japanese, Asian",“Great!”,No,No
Ajisen Ramen,63,"Japanese, Seafood",“Nice little place with good lo mein”,No,No
Momoya Soho,9,"Japanese, Seafood",“Leave it to Sushi Chef!”,No,No
Katherine,111,Italian,“Best cocktails”,Italian food,Yes
Coarse,48,"Turkish, Middle Eastern",“Go go go!!”,lobster bisque,Yes
Sip Sak,168,"Fast Food, Asian",“Good lunch”,tuna,Yes
Xi'an Famous Foods,59,"American, International",“Best noods!”,burger,Yes
Suspenders Pub NY,80,"Italian, Mediterranean",“It’s a Cheers Bar!”,wagyu beef,Yes
Mediterraneo,141,"Steakhouse, Bar",“Italian food as it should be”,fries,Yes
Sea Fire Grill,"1,137","Japanese, Sushi",“The lobster bisque was velvety and luscious.”,Crab Cakes,Yes
Sasabune,105,"American, Bar",“No spicy tuna.”,spaghetti,Yes
Patriot Saloon,47,"American, Bar",“Became our ‘local’”,Fish tacos,Yes
Tracks Raw Bar & Grill,102,"Japanese, Asian",“Turkey burger with a side salad and per...”,ribeye,Yes
Tsurutontan Udon Noodle Brasserie,116,"Chinese, Asian","“... udons from cremes, curries, traditional and upscale truffles and wagyu beef.”",fries,Yes
Oriental Garden Restaurant,195,"Bar, Pub",“Great Service and Food”,Salad,Yes
All Stars Sports Bar & Grill,21,"Bar, American","“The fries were terrific also, hot crisp...”",Pizza,Yes
Astor Court,91,"Belgian, European",“Not what it used to be…”,No,Yes
B. Cafe,87,"Sri Lankan, Asian",“Delicious brunch”,No,Yes
Sigiri,69,Indian,"“A great SriLankan, my be the only one, in...”",No,Yes
Aahar Indian Cuisine,57,"Bar, Pub",“Phenomenal tandoori lamb chops!”,No,Yes
Lounge Sheraton Tribeca,59,"Seafood, Soups",“The Lounge is part of being a Marriott...”,No,Yes
Benjamin Steakhouse Prime,309,"Italian, Pizza","“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”",No,No
Numero 28 Cucina,59,"Wine Bar, Italian",“Delightful discovery”,No,No
Osteria Cotta,153,Italian,“I had spaghetti and my friend had an egg/cheese dish and they were both good.”,No,No
Longo Bros,18,"American, Bar",“Do Not Miss! Phenomenal!”,No,No
The Wilson NYC,57,Italian,“Fish tacos were a little pricy for lunc...”,No,No
Firenze Ristorante,87,"Bar, American",“Very good UES Italian”,No,No
Ben & Jack's Steakhouse,87,American,“The bartender/server suggested the ribeye as well as the special mashed potat...”,No,No
Cheese Grille,55,"American, Contemporary",“Best grilled cheese sandwich”,No,No
Copinette,47,American,"“Neighborhood Gem: welcoming, reasonable...”",No,No
TY Bar - Four Seasons New York,97,"American, Bar",“Excellent!”,No,No
City Winery New York City,146,Italian,“... / lemon-dressed arugula/ herb fries and complemented the whole meal with ...”,No,No
Nino's Restaurant,174,"Chinese, Steakhouse","“The old style made-at-the-table Caesar Salad was fantastic, almost a meal in...”",No,No
Brooklyn Chop House - Times Square,3,"American, Cafe",“Worth the price”,No,No
Studio Cafe at The Whitney Museum of American Art,145,American,“A Good Choice for Lunch or a Break”,No,No
Flat Top,78,"Caribbean, Latin",“Better second time around”,No,No
Amor Cubano,93,"Japanese, Seafood",“enjoyed the experience!”,No,No
O Ya,75,"Fast Food, American",“Excellent japanese food”,No,No
Flavors Cafe,93,"American, Pizza",“Great Location”,No,No
The Marshal,323,"American, Pizza",“Quite possibly the best Pizza I ever ate!”,No,No
Benjamin Steakhouse,"2,490","Seafood, Soups","“I had a ribeye steak which was excellent quality meat, beautifully cooked and...”",ribeye,Yes
Starlight Deli,98,"American, Deli",“Cute deli with great food.”,deli,Yes
Le Monde,175,"French, European",“Very good bistro food and service”,diner,Yes
Gracie Mews Restaurant Corporation,78,"American, Diner",“Great local diner”,duck,Yes
H K Wonton Garden,123,"Chinese, Asian",“My husband had a duck vegetable cassero...”,Crab Cakes,Yes
Giardino D'oro,82,Italian,“Perfect!”,Hot and Sour Soup,Yes
Benjamin Steakhouse Prime,309,"Seafood, Soups","“The Prawn starter (which we're still talking about), Crab Cakes and the Steak...”",sports bar,Yes
Papatzul,98,"Mexican, Latin",“Great quality food”,pasta,Yes
Wu Liang Ye,216,"Chinese, Asian",“... the Hot and Sour Soup was excellent...”,fish and chips,Yes
NYY Steak,17,"American, Steakhouse",“I was expecting more of a sports bar but to my surprise it was anything but t...”,Crostini,Yes
Anytime,44,"Asian, Korean",“Satisfied restaurant in a while”,Sushi,Yes
Angeletto Restaurant,51,"Italian, European",“Others had lasagna pasta all very good .”,catfish,Yes
Allora Fifth Ave,9,"Italian, Mediterranean",“Good experience for dinner”,Indian,Yes
Shakespeare,115,"Bar, British","“Ah, fish and chips and shepherd's pie done up to perfection1 The relatively l...”",Steak,Yes
Follia,97,Italian,“The Arancini and assortment of Crostini are delicious as well.”,twist,Yes
The Hog Pit,100,"American, Bar",“Great ambience”,salad,Yes
Old Tbilisi Garden,108,Eastern European,“More delicious Georgian food than you can...”,ribeye,Yes
Blockheads Burritos,59,Mexican,"“Amazing Mexican burritos,”",Friendly atmosphere,Yes
Momoya Soho,9,"Japanese, Seafood",“Leave it to Sushi Chef!”,green curry,Yes
The Boil,63,"Seafood, American",“I loved the catfish bowl that my husband ordered.”,No,Yes
Resca,33,Italian,“Great Stop on the High Line”,No,Yes
Nippon Restaurant,85,"Japanese, Sushi",“One of our favorite Japanese Restaurants”,No,No
Aangan Indian Cuisine,76,"Indian, American","“My wife and I disagreed on the quality of the food, but I eat Indian food oft...”",No,No
Morgan Cafe,93,"Cafe, American","“The space is great, the food ia okay”",No,No
Royal 35 Steakhouse,591,"American, Steakhouse","“Superb Steak, really delicious”",No,No
Haru Sushi,141,"Japanese, Sushi",“Good food and fast service”,No,No
Edward's,121,American,“Good place”,No,No
Vanilla Gorilla Cafe,20,"Cafe, Italian",“... Cafe Is a great place for delicious coffee and breakfast items with a twist.”,No,No
Center Bar,109,"Bar, American",“Nice place for a quick snack and drink”,No,No
Frenchette,116,"French, European",“We shared a mixed red lettuce salad whi...”,No,No
Ben & Jack's Steakhouse,87,"Bar, American",“The bartender/server suggested the ribeye as well as the special mashed potat...”,No,No
John Doe,83,"Irish, American",“Just what we need Friendly atmosphere Would recommend”,No,No
Talia's Steakhouse and Bar,236,"American, Middle Eastern",“Passover at Talia's”,No,No
Sushiden Madison Ave,77,"Japanese, Sushi",“Enjoyable lunch with high quality sushi”,No,No
Pad Thai Noodle Lounge,97,"Asian, Thai",“My go to place when I'm in the mood for some Thai soup and a green curry etc....”,No,No
&pizza - NoMad,36,"Pizza, Fast Food",“Solid pizza”,No,No
Ledo Pizza,13,"Italian, Pizza",“Maryland’s Best in NYC”,No,No
David Burke Tavern,114,"American, Steakhouse",“Highlights were the tuna tartare appetizer and the salmon entree.”,tuna,Yes
Cafe Evergreen,73,"Chinese, Asian",“Dumplings are out of this world.”,Dumplings,Yes
Tito Murphy's Cantina & Kitchen,47,"Mexican, Latin",“Really good tacos”,tacos,Yes
Mee Noodle Shop & Grill,95,"Chinese, Asian",“Go To Asian in Turtle Bay”,Steak,Yes
Sistina,157,Italian,“Wonderful Lunch Experience in a Discreet...”,breakfast burrito,Yes
Yakiniku Futago,53,"Grill, Diner","“A very nice, enjoyable and expensive...”",Irish Pub,Yes
Tangy Noodle,3,"Chinese, Asian",“Great quality for the price!”,Diner,Yes
The Full Shilling,62,"Bar, Pub",“A fine pub”,Mexican restaurant,Yes
The Empire Lobby Bar,142,Bar,“Chuck Bass cocktail!!”,cheeseburger,Yes
Bravest,47,"American, Bar",“Local eatery with an ingesting variety of...”,plantains,Yes
La Cava,76,"Bar, Wine Bar",“Brunch”,lobster bisque,Yes
Rai Rai Ken,70,"Japanese, Asian",“Yummy Ramen in East Village”,pancakes,Yes
Brickyard craft kitchen & beer,114,American,“Friendly Spot”,sashimi,Yes
Rintintin,61,"Bar, Mediterranean",“Bar”,sliders,Yes
Mr. Dennehy's,113,"Bar, Pub","“Great service, food and drinks”",No,Yes
El Toro Blanco,44,"Mexican, Latin",“Authentic Mediterranean Cuisine”,No,Yes
Galata Mediterranean Cuisine,74,"Mediterranean, Turkish",“Authentic Senegalese Cuisine (and More)”,No,No
Ponty Bistro Harlem,591,"French, African","“Superb Steak, really delicious”",No,No
Royal 35 Steakhouse,20,"American, Steakhouse","“Will go back for sure to maybe try breakfast burrito, burger or Ruben quesadi...”",No,No
Golden Diner,32,"American, Diner","“Authentic Irish Pub, hosted by the Charming and Unforgettable Mary O!”",No,No
Mary O's,157,"Bar, Irish",“Classic Diner”,No,No
Utopia,46,"American, Diner",“Fabulous meal”,No,No
Salam Restaurant,56,Middle Eastern,"“Great, quick breakfast”",No,No
Made Fresh Daily Bakeshop,290,"Cafe, American",“Excellent Pizza”,No,No
Motorino East Village,100,"Italian, Pizza",“This Spanish-Mexican restaurant is located in the West Village that offers en...”,No,No
Tio Pepe,109,"Mexican, Bar",“The best cheeseburger on a cold night while watching the game”,No,No
Blondies Sports Bar,84,"American, Bar",“Cool/slightly grubby cafe on the corner...”,No,No
Cafe Amrita,55,"Cafe, American","“I had a big bowl of oxtail soup, a first for me, with lots of meat, plantains...”",No,No
Casa Adela,41,"Caribbean, Latin",“Warm and cozy”,No,No
By Suzette,"1,137","French, Cafe",“The lobster bisque was velvety and luscious.”,No,No
Sea Fire Grill,52,"Steakhouse, Bar",“Good🌟”,No,No
Curry-Ya,117,"Japanese, Asian",“Pretty good food and reasonably priced...”,No,No
Terrace 5,282,"American, Diner","“For brunch- we ordered matzah ball soup, pancakes, eggs, salmon burger on sal...”",No,No
Nectar Cafe,142,"Japanese, Asian",“Surprisingly Good”,No,No
Kajitsu,66,"Japanese, Sushi",“All the sashimi and sushi piece was gre...”,No,No
Sushi Azabu,55,"Pub, Gastropub",“I had the sliders and a green salad with a tasty lemony vinaigrette.”,No,No
The Elgin,No,"Pub, Gastropub",No,No,No
Socarrat Paella Bar - Midtown East,191,"Mediterranean, European",“Best paella outside of Spain!”,paella,Yes
Ramen Takumi,85,"Japanese, Asian",“Good quick stop for a yummy soup!”,pizza,Yes
Tarallucci e Vino-NoMad,35,"Italian, Mediterranean",“Worth the Splurge”,fajitas,Yes
Tarallucci E Vino- East Village,51,"Italian, Cafe",“Make This Your Go-To Italian in E Village”,carbonara,Yes
Billy's Burgers,62,"American, Bar",“Order a milkshake!”,pasta,Yes
Two Boots West Village,76,"Pizza, Cajun & Creole",“Still my favorite pizza!”,pizza,Yes
Perfect Picnic,49,"Italian, American",“Perfect Picnic did a wonderful job...”,pasta,Yes
Istanbul Kebab House,73,"Central American, South American",“Great find on 9th Ave”,udon,Yes
El Camion,50,"Mexican, Latin","“Nachos, tacos, enchiladas, fajitas, fried ice cream and sangria!! Great service!”",lobster bisque,Yes
Barclay Bar & Grill,102,Contemporary,“great burger at $21 ....fries go with it”,steak,Yes
Cafe Alice,60,"Cafe, American","“Welcoming service, decent food.”",An Italian restaurant,Yes
Chikarashi,36,"Hawaiian, Japanese",“Good for New York”,No,Yes
Lupa Osteria Romana,983,"Italian, Romana","“We had a wonderful dinner at Lupa, spaghetti carbonara and the garganelli bol...”",No,Yes
Aria Hell's Kitchen,236,"Italian, Wine Bar",“very good pasta dishes.”,No,Yes
99 Cent Fresh Pizza,66,"Italian, American",“piping hot”,No,Yes
Cafe Mocha,55,"Cafe, American",“Date night”,No,Yes
Tal Bagels,97,American,"“Good bagels, poor service, what about...”",No,Yes
The Bar Room at The Beekman,49,"Bar, American",“Wonderful for early drinks”,No,See events
Motorino,48,"Italian, Pizza",“Delicious thin crust pizza”,No,Yes
Underdog,75,American,“impossible burger sliders and great fries”,No,Yes
Bottega Restaurant,104,Italian,“Several pasta dishes and then the tiram...”,No,Yes
Raku,27,Japanese,“Popular udon spot with multiple locations”,No,Yes
cha-an,73,"Japanese, Asian",“Cha An Teahouse - A tea haven for New...”,No,No
Senn Thai Comfort Food,56,"Asian, Thai",“excellent restaurant”,No,No
Sea Fire Grill,"1,137","Steakhouse, Bar",“The lobster bisque was velvety and luscious.”,No,No
Cafe Hestia,73,American,“Great New York cafe”,No,No
Kaia Wine Bar,48,"African, Wine Bar","“High prices, but good wine and food...”",No,No
Tramonti Pizza,28,"Italian, Pizza",“Tramonti has moved!”,No,No
Natsumi Tapas,57,"Japanese, Sushi",“Excellent Food”,No,No
Fitzpatrick Manhattan,35,"Irish, Bar",“Nice bar in the hotel”,No,No
Tabernacle Steakhouse,7,"Steakhouse, American",“My steak was delectable and cooked to perfection.”,No,No
EatWith: Gustavo of New York,14,"Venezuelan, South American","“Excellent chef, host, and interior...”",No,No
Sbarro,261,"Italian, Pizza",“Good for a quick slice”,No,No
Whitmans Hudson Yards,31,American,“Great Burger and Tots”,No,No
Famous Ben's Pizza,44,"Pizza, Italian",“3 Slices 🍕🍕🍕$19 - Since 1979”,No,No
St. George Tavern,158,"American, Bar",“Ate for breakfast only and bought a drink...”,No,No
Don Giovanni Ristorante,263,"Italian, Pizza",“An Italian restaurant well worth a visit”,No,No
Royal 35 Steakhouse,591,"American, Steakhouse","“Superb Steak, really delicious”",Steak,Yes
3 Sheets,38,"Bar, Pub",“So Happy to Have Visited!”,Thai,Yes
Caravan of Dreams,102,American,"“Sophisticated, diverse and high quality...”",lobster bisque,Yes
Statue of Liberty Crown Cafe,389,"American, Cafe",“Pretty standard”,Bao,Yes
Flute Midtown,94,"Wine Bar, Bar",“Flute bar”,middle Eastern food,Yes
The Organic Grill,76,"American, Healthy",“Organic Grill is a MUST on any time spent...”,Singapore,Yes
Lezzet Mediterranean Turkish Restaurant,17,"Mediterranean, Turkish",“Very Authentic & Delicious”,sushi,Yes
Wolfnights - The Gourmet Wrap,60,Fast Food,“Good NY Comedy Festival location”,Pizza,Yes
Lex Restaurant,54,"Italian, Seafood",“Not bad for takeout”,chili,Yes
Cooper's Craft & Kitchen,51,"Bar, Pub",“Not bad”,No,Yes
Dowling's at The Carlyle,21,"American, European",“Impressive dining room”,No,Yes
Ayada Thai,34,"Thai, Asian",“Great service and good Thai food at Chelsea Market”,No,Yes
Sea Fire Grill,"1,137","Steakhouse, Bar",“The lobster bisque was velvety and luscious.”,No,Yes
Mountain Bird,42,European,“Amazing”,No,Yes
SOUTHGATE Bar & Restaurant,202,American,“Nice ambience”,No,Yes
Stick To My Pot Potstickers,29,"Asian, Chinese",“The Bao buns are very tasty next to the dumplings.”,No,Yes
CajunSea & Oyster Bar,80,"Cajun & Creole, Seafood",“Dinner before the Dead”,No,Yes
